,id,groupid,line_no,first_relate_chain,first_relate_chain_usegas,second_relate_chain,second_relate_chain_usegas,rankid,total,address,tx_count,angle,angle_firsttime,angle_lasttime,merkly,merkly_firsttime,merkly_lasttime,stargate,stargate_firsttime,stargate_lasttime,sum_stargate_swap_usd
70,140001,2.02405E+19,66,op,0.23906629,zksync,0.03580307,1611350,16.78306817,0x6589b9e4cc268b6671a2bf7dd32e33fa7de83815,131,6,2023/7/30 2:06,2023/8/7 15:04,115,2023/8/13 6:29,2024/4/28 20:49,10,2023/7/31 22:19,2023/8/15 14:19,1.00E-04
71,140000,2.02405E+19,65,op,0.23906629,zksync,0.03580307,1611341,16.78317146,0x09ca997209512f231175ef7c6169af9dc4a0e2b1,132,7,2023/7/29 21:58,2023/8/7 14:30,115,2023/8/13 6:24,2024/4/28 20:48,10,2023/7/31 22:07,2023/8/15 14:07,1.00E-04
72,139999,2.02405E+19,64,op,0.23906629,zksync,0.03580307,1611319,16.78351986,0xd1912aedaf0ad8bf2c2712d7ee6bb0a0e69f5f81,131,6,2023/7/30 2:01,2023/8/7 14:34,115,2023/8/13 6:26,2024/4/28 20:48,10,2023/7/31 22:12,2023/8/15 14:12,1.00E-04
73,139998,2.02405E+19,63,op,0.23906629,zksync,0.03580307,1610922,16.79046572,0x9194353d80f7e31fb474fba54d8f985bff26d682,131,6,2023/7/30 2:05,2023/8/7 15:03,115,2023/8/13 6:28,2024/4/28 20:49,10,2023/7/31 22:17,2023/8/15 14:18,1.00E-04
74,139997,2.02405E+19,62,op,0.23906629,zksync,0.03580307,1610227,16.80262263,0xd6d41cc7d22ee3cb5b3008f6811300aad6a0dd7d,131,6,2023/7/30 2:12,2023/8/7 15:12,115,2023/8/13 6:31,2024/4/28 20:49,10,2023/7/31 22:27,2023/8/15 14:27,1.00E-04
75,139996,2.02405E+19,61,op,0.23906629,zksync,0.03580307,1608484,16.83318507,0x39f2d79d7a481dee7b6eb4bf84d0de26e8733def,131,6,2023/7/30 2:11,2023/8/7 15:11,115,2023/8/13 6:31,2024/4/28 20:49,10,2023/7/31 22:26,2023/8/15 14:26,1.00E-04
76,139959,2.02405E+19,24,op,0.23906629,zksync,0.03580307,1545140,17.94187587,0x29b92c3e3389d6f54475bf73ab7dc64762a7591e,131,6,2023/7/30 3:25,2023/8/7 16:21,115,2023/8/13 6:59,2024/4/28 20:54,10,2023/8/1 6:26,2023/8/15 16:05,1.00E-04
77,139958,2.02405E+19,23,op,0.23906629,zksync,0.03580307,1543995,17.96240613,0xa238fb73a0e788404b2a48504485855be2970064,130,6,2023/7/30 3:16,2023/8/7 16:17,114,2023/8/13 6:56,2024/4/28 20:54,10,2023/8/1 6:22,2023/8/15 16:00,1.00E-04
78,139957,2.02405E+19,22,op,0.23906629,zksync,0.03580307,1543918,17.96380446,0x202bd3b5018c6c3a9f2110283a68a70cc08cbafc,131,6,2023/7/30 2:25,2023/8/7 15:31,115,2023/8/13 6:38,2024/4/28 20:50,10,2023/7/31 22:43,2023/8/15 15:05,1.00E-04
79,139956,2.02405E+19,21,op,0.23906629,zksync,0.03580307,1543879,17.96439381,0xcacaa5e094a81d1e56c2e5918f415c7c39f0f259,131,6,2023/7/30 3:02,2023/8/7 16:00,115,2023/8/13 6:49,2024/4/28 20:53,10,2023/7/31 23:14,2023/8/15 15:41,1.00E-04
80,139955,2.02405E+19,20,op,0.23906629,zksync,0.03580307,1543865,17.96464234,0xcf38693dc7e5bbbe0202debae0ef4d7ac7f86924,131,6,2023/7/30 2:40,2023/8/7 15:41,115,2023/8/13 6:41,2024/4/28 20:52,10,2023/7/31 22:54,2023/8/15 15:20,1.00E-04
81,139954,2.02405E+19,19,op,0.23906629,zksync,0.03580307,1543854,17.96486106,0xf6625cbf62160c22d4323eee84bcc64b334c0fe3,131,6,2023/7/30 2:23,2023/8/7 15:29,115,2023/8/13 6:37,2024/4/28 20:49,10,2023/7/31 22:41,2023/8/15 14:59,1.00E-04
82,139953,2.02405E+19,18,op,0.23906629,zksync,0.03580307,1543812,17.96563098,0x3e08a99a5788c9852c323b0d2362e2c2263a801a,131,6,2023/7/30 2:55,2023/8/7 15:52,115,2023/8/13 6:46,2024/4/28 20:53,10,2023/7/31 23:07,2023/8/15 15:34,1.00E-04
